2019-11-20,0,5.5,6.2,5
2019-11-21,0,8.2,9.8,6
2019-11-22,0.15,8.7,10.2,6.8
2019-11-23,2.483,5.9,8.3,2.8
2019-11-24,1.533,4.3,6.5,2.8
2019-11-25,0,4.3,4.9,3.6
2019-11-26,0,6.3,8.1,3.9
2019-11-27,0,6.5,8,4.9
2019-11-28,2.35,10.1,12.6,7.4
2019-11-29,0.6,5.5,9.5,0
2019-11-30,3.15,1.8,5,-1.3
2019-12-01,0,2.7,3.7,1.2
2019-12-02,0,3.2,4.8,1.6
2019-12-03,3.433,3,5.8,-0.8
2019-12-04,3.183,4.4,7.3,0.1
2019-12-05,6.35,1.1,4.7,-1.3
2019-12-06,0,2.4,5.7,-0.4
2019-12-07,0.033,8,9.7,5.7
2019-12-08,0.05,9.2,11.4,7.7
2019-12-09,3.483,7.4,9.9,4.6
2019-12-10,6,3.5,6.3,1
2019-12-11,0,2.8,4.4,0.7
2019-12-12,0,2.3,4,0.9
2019-12-13,2.933,1.3,2.8,-0.5
2019-12-14,0.083,3.8,5.7,2.1
2019-12-15,1.7,5.9,9.8,2.5
2019-12-16,0,6.3,8.2,4.3
2019-12-17,0.133,8.4,11.9,4.7
2019-12-18,1.317,8.1,12,0.2
2019-12-19,1.267,4.3,7.4,0.5
2019-12-20,5.667,6.8,10.6,2.3
2019-12-21,2.95,7.1,10.3,2.3
2019-12-22,0,2.8,5.2,0.4
2019-12-23,0.1,6.8,8.4,5
2019-12-24,1.733,6.2,8.3,4.7
2019-12-25,0,5.5,6.1,3.9
2019-12-26,0.383,4.9,6,3.9
2019-12-27,0.817,3.1,4.4,0.8
2019-12-28,0,1.3,2.4,-1.4
2019-12-29,4.367,0,2.3,-3.6
2019-12-30,0.2,4.5,7.2,1.6
2019-12-31,0.317,6,7.6,4.2
2020-01-01,1.533,2.7,5.7,-1.7
2020-01-02,6.233,0.9,6.7,-3.8
2020-01-03,0,4.6,7.2,1.5
2020-01-04,0,4.2,5.8,1.6
2020-01-05,1.65,1.8,3.8,-0.6
2020-01-06,1.567,4.9,7.4,2.3
2020-01-07,0,2.7,5.8,-0.5
2020-01-08,0,6.4,8.4,3.2
2020-01-09,0,8.4,10,7.2
2020-01-10,2.217,9.4,11.5,4.6
2020-01-11,1.683,4.7,7.2,2.5
2020-01-12,4.583,3.7,6.3,1.3
2020-01-13,0.683,5.5,8.2,2.1
2020-01-14,0.133,7,10.2,2
2020-01-15,1.067,10.4,14,8.2
